[Auto-pin] using GPU 0
{'seed': 42, 'dataset_name': 'pancreatic', 'do_train': True, 'load_model': None, 'GEPC': True, 'ecs_thres': 0.7, 'dab_weight': 0, 'this_weight': 1, 'next_weight': 10, 'n_rounds': 1, 'next_cell_pred_type': 'identity', 'ecs_weight': 1, 'cell_type_classifier': True, 'cell_type_classifier_weight': 1, 'perturbation_classifier_weight': 50, 'perturbation_input': False, 'CCE': False, 'mask_ratio': 0.15, 'epochs': 150, 'n_bins': 51, 'lr': 0.001, 'batch_size': 32, 'layer_size': 32, 'nlayers': 2, 'nhead': 4, 'dropout': 0.4, 'schedule_ratio': 0.99, 'save_eval_interval': 5, 'log_interval': 60, 'fast_transformer': True, 'pre_norm': False, 'amp': True, 'do_sample_in_train': False, 'ADV': False, 'adv_weight': 10000, 'adv_E_delay_epochs': 2, 'adv_D_delay_epochs': 2, 'lr_ADV': 0.001, 'DSBN': False, 'per_seq_batch_sample': False, 'use_batch_label': False, 'schedule_interval': 1, 'explicit_zero_prob': True, 'USE_HVG': True, 'n_hvg': 3000, 'mask_value': -1, 'pad_value': -2, 'pad_token': '<pad>', 'ps_weight': 0, 'max_cells': None, 'max_cells_seed': 1337, 'filter_missing_subcluster': True, 'KEEP_WT_FRAC': 1, 'special_tokens': ['<pad>', '<cls>', '<eoc>'], 'max_seq_len': 3001}
scGPT - INFO - Binning data ...
Initializing PertTFUniDataManager: Creating vocab and mappings...
Initialization complete.
Creating a single train/validation split (test_size=0.2)...
scGPT - INFO - | epoch   1 |  60/4480 batches | lr 0.00100000 | ms/batch 94.16 | loss  0.00 | mse 185.85 | mre 472574.26 |mse_next 185.85 | mre_next 472574.26 |cls  3.04 | pert  3.08 | ps  0.00 |gepc 167.18 |gepc_next 171.76 |
scGPT - INFO - | epoch   1 | 1560/4480 batches | lr 0.00100000 | ms/batch 48.50 | loss  0.00 | mse 90.60 | mre 2143225.19 |mse_next 90.60 | mre_next 2143225.19 |cls  2.22 | pert  2.44 | ps  0.00 |gepc 94.77 |gepc_next 96.77 |
scGPT - INFO - | epoch   1 | 1620/4480 batches | lr 0.00100000 | ms/batch 47.68 | loss  0.00 | mse 87.50 | mre 2092416.11 |mse_next 87.50 | mre_next 2092416.11 |cls  2.16 | pert  2.41 | ps  0.00 |gepc 90.98 |gepc_next 96.67 |
scGPT - INFO - | epoch   1 | 1680/4480 batches | lr 0.00100000 | ms/batch 48.06 | loss  0.00 | mse 86.74 | mre 2107993.44 |mse_next 86.74 | mre_next 2107993.44 |cls  2.14 | pert  2.47 | ps  0.00 |gepc 87.54 |gepc_next 94.92 |
scGPT - INFO - | epoch   1 | 1740/4480 batches | lr 0.00100000 | ms/batch 48.61 | loss  0.00 | mse 83.90 | mre 1957389.06 |mse_next 83.90 | mre_next 1957389.06 |cls  2.04 | pert  2.46 | ps  0.00 |gepc 85.01 |gepc_next 92.42 |
scGPT - INFO - | epoch   1 | 1800/4480 batches | lr 0.00100000 | ms/batch 48.33 | loss  0.00 | mse 82.97 | mre 1948421.81 |mse_next 82.97 | mre_next 1948421.81 |cls  2.04 | pert  2.24 | ps  0.00 |gepc 84.23 |gepc_next 89.97 |
scGPT - INFO - | epoch   1 | 1860/4480 batches | lr 0.00100000 | ms/batch 47.94 | loss  0.00 | mse 83.58 | mre 1965170.31 |mse_next 83.58 | mre_next 1965170.31 |cls  2.01 | pert  2.37 | ps  0.00 |gepc 84.45 |gepc_next 88.18 |
scGPT - INFO - | epoch   1 | 1920/4480 batches | lr 0.00100000 | ms/batch 47.87 | loss  0.00 | mse 83.38 | mre 1948037.62 |mse_next 83.38 | mre_next 1948037.62 |cls  2.01 | pert  2.37 | ps  0.00 |gepc 84.47 |gepc_next 85.89 |
scGPT - INFO - | epoch   1 | 1980/4480 batches | lr 0.00100000 | ms/batch 48.04 | loss  0.00 | mse 82.13 | mre 1939323.27 |mse_next 82.13 | mre_next 1939323.27 |cls  1.95 | pert  2.37 | ps  0.00 |gepc 83.40 |gepc_next 83.21 |
scGPT - INFO - | epoch   1 | 2040/4480 batches | lr 0.00100000 | ms/batch 48.17 | loss  0.00 | mse 82.76 | mre 1892831.66 |mse_next 82.76 | mre_next 1892831.66 |cls  1.99 | pert  2.33 | ps  0.00 |gepc 84.13 |gepc_next 82.71 |
scGPT - INFO - | epoch   1 | 2100/4480 batches | lr 0.00100000 | ms/batch 47.93 | loss  0.00 | mse 83.33 | mre 1941962.77 |mse_next 83.33 | mre_next 1941962.77 |cls  1.91 | pert  2.33 | ps  0.00 |gepc 83.92 |gepc_next 82.62 |
scGPT - INFO - | epoch   1 | 2160/4480 batches | lr 0.00100000 | ms/batch 47.95 | loss  0.00 | mse 82.62 | mre 1931238.96 |mse_next 82.62 | mre_next 1931238.96 |cls  1.82 | pert  2.31 | ps  0.00 |gepc 83.15 |gepc_next 81.73 |
scGPT - INFO - | epoch   1 | 2220/4480 batches | lr 0.00100000 | ms/batch 47.99 | loss  0.00 | mse 82.00 | mre 1919865.90 |mse_next 82.00 | mre_next 1919865.90 |cls  1.80 | pert  2.27 | ps  0.00 |gepc 82.39 |gepc_next 81.13 |
scGPT - INFO - | epoch   1 | 2280/4480 batches | lr 0.00100000 | ms/batch 48.33 | loss  0.00 | mse 81.33 | mre 1901858.98 |mse_next 81.33 | mre_next 1901858.98 |cls  1.73 | pert  2.33 | ps  0.00 |gepc 81.86 |gepc_next 80.59 |
